"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sgd","systematic","genename"
"S000029717",3736.82780548423,-4.38968152034032,0.626553913484895,-7.00607150616121,2.45102682828447e-12,2.76360159795895e-11,"S000029717","S000029717","ETS1-1"
"S000029707",3717.47985387149,-4.38060886134795,0.625048065214251,-7.00843519905366,2.40998193736737e-12,2.72500203489741e-11,"S000029707","S000029707","ETS1-2"
"S000119380",34.1924490559531,2.27616491348269,0.479475719217054,4.74719536830664,2.06256703515447e-06,1.04096530751593e-05,"S000119380","S000119380","HRA1"
"S000132612",276.63052496327,1.51655250169047,0.254469118560582,5.95967208229011,2.52744587974946e-09,1.92386240732889e-08,"S000132612","S000132612","ICR1"
"S000178119",3185.39671688781,1.30770854268714,0.398064752927444,3.28516537339716,0.00101922530080782,0.0029617546023957,"S000178119","S000178119","IRT1"
"S000029715",151.562849866501,-2.14569413163162,0.600241199076719,-3.5747198541721,0.000350603097351872,0.00112286236657214,"S000029715","S000029715","ITS1-1"
"S000029709",151.562849866501,-2.14569413163162,0.600241199076719,-3.5747198541721,0.000350603097351872,0.00112286236657214,"S000029709","S000029709","ITS1-2"
"S000029716",53.012111702459,-2.64386633727939,0.780905362661849,-3.38564243977954,0.00071011844918851,0.00212189736107396,"S000029716","S000029716","ITS2-1"
"S000029712",53.012111702459,-2.64386633727939,0.780905362661849,-3.38564243977954,0.00071011844918851,0.00212189736107396,"S000029712","S000029712","ITS2-2"
"S000006478",239.401309608499,-1.48162117654346,0.329984789165027,-4.48996809911287,7.12338411209718e-06,3.22480419089753e-05,"S000006478","S000006478","LSR1"
"S000007436",25.9903319387323,-1.21540165050792,0.525996553781544,-2.31066466456869,0.0208513844476789,0.0415303293944673,"S000007436","S000007436","NME1"
"S000132614",57.8938284853734,1.51651324346299,0.546002777823764,2.77748265220819,0.00547817643081834,0.0128834394540584,"S000132614","S000132614","PWR1"
"S000007287",26.4436312739741,-3.87333450003334,0.810654860043459,-4.7780315531886,1.77019607327521e-06,9.06322326291669e-06,"S000007287","S000007287","15S_RRNA"
"S000007260",12.3772997358867,-2.37597460427339,0.68792564050116,-3.45382475138224,0.000552696408555641,0.00169094770117557,"S000007260","S000007260","COX1"
"S000007261",43.3817846497885,-1.92124492324207,0.541568733198105,-3.54755510329522,0.000388824406831619,0.00123281292971731,"S000007261","S000007261","AI1"
"S000007262",25.9793291531659,-2.10530438248682,0.604926863965255,-3.48026266958404,0.000500922409414184,0.00154510954256291,"S000007262","S000007262","AI2"
"S000007268",18.8757165230237,-5.10779555958384,0.892272637000965,-5.72447853690969,1.03751922808754e-08,7.32345049509385e-08,"S000007268","S000007268","ATP6"
"S000007270",29.1933144548015,-2.9864629620658,0.490320130727242,-6.09084305316261,1.1231762314087e-09,8.89821590698917e-09,"S000007270","S000007270","COB"
"S000007273",85.3955642534725,-3.80464921989867,0.594722398866945,-6.39735316367305,1.58093386290458e-10,1.41019300571089e-09,"S000007273","S000007273","BI4"
"S000007288",85.9869667277454,-2.51869836962633,0.611695085618339,-4.11757169355101,3.82885437152479e-05,0.000151269896134847,"S000007288","S000007288","21S_RRNA"
