"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sgd","systematic","genename"
"S000029717",3167.77256776416,-1.39019563534089,0.531106945241648,-2.6175436939699,0.00885651487803861,0.0312712863517307,"S000029717","S000029717","ETS1-1"
"S000029707",3152.33400645373,-1.39019520388105,0.529551620351807,-2.62523076212565,0.00865902598597388,0.0307257841155722,"S000029707","S000029707","ETS1-2"
"S000029715",136.064072812925,-1.45260827386464,0.540500976281726,-2.68752201681038,0.00719843565722776,0.026354313741997,"S000029715","S000029715","ITS1-1"
"S000029709",136.064072812925,-1.45260827386464,0.540500976281726,-2.68752201681038,0.00719843565722776,0.026354313741997,"S000029709","S000029709","ITS1-2"
"S000007261",39.5887650716159,1.76810053991967,0.618858257032735,2.85703635659198,0.00427616854902995,0.0172925436657286,"S000007261","S000007261","AI1"
"S000007268",16.3680475496666,-2.55085372828465,0.95948837156414,-2.65855616793593,0.00784762683925184,0.0282890618949374,"S000007268","S000007268","ATP6"
"S000007497",41.5313712389374,1.79417900692264,0.628439855402667,2.85497329855541,0.00430404473496928,0.0173877081393205,"S000007497","S000007497","SNR30"
"S000119075",525.145834212896,-1.6141318232443,0.35738201110105,-4.51654468637455,6.28568574877358e-06,6.53866858858957e-05,"S000119075","S000119075","SNR86"
"S000002136",2758.65528425381,2.20300013825622,0.200178666437835,11.0051694191916,3.60837069860523e-28,8.05850662424446e-26,"S000002136","S000002136",NA
"S000000004",22322.3563124837,2.19544795122549,0.18531637798752,11.8470260160888,2.22963917209114e-32,7.08182948593303e-30,"S000000004","S000000004","SSA1"
"S000000010",721.050383307748,1.41389948862775,0.340978664135444,4.14659225735637,3.37460240514068e-05,0.00027945070786023,"S000000010","S000000010","CYS3"
"S000000016",31.6286602827745,-4.48717711760015,0.860641791713918,-5.21375694371545,1.85053905519386e-07,3.12275734544106e-06,"S000000016","S000000016","LDS1"
"S000000027",456.224366269496,1.00590717765564,0.321661291503826,3.12722483004667,0.00176464922944183,0.0081598613511524,"S000000027","S000000027","MYO4"
"S000000035",171.020723532758,1.96427689271048,0.37642804794163,5.21820014064166,1.80670180466163e-07,3.06716131747047e-06,"S000000035","S000000035",NA
"S000000049",3254.51457846449,1.13886275149628,0.361847035176592,3.14735963206244,0.00164752188245727,0.00768789757295521,"S000000049","S000000049","FLC2"
"S000000050",15410.2467153861,-3.88866475001526,0.688955054303962,-5.64429381237924,1.6586061931835e-08,3.73330052270423e-07,"S000000050","S000000050","ACS1"
"S000000057",7774.6496138456,1.90057270749125,0.34511447915334,5.50707901955859,3.64836524320905e-08,7.52468750666479e-07,"S000000057","S000000057","BDH2"
"S000000058",9307.39733513693,-2.02391620581202,0.309259019015973,-6.54440479133605,5.97328037238759e-11,2.24084242421354e-09,"S000000058","S000000058","GDH3"
"S000000066",116.068032730536,-1.6791611068883,0.330197263570885,-5.08532714271822,3.66992941792706e-07,5.61008568667717e-06,"S000000066","S000000066","SEN34"
"S000000076",240.786997665136,3.52735077624933,0.394173193174633,8.9487332911718,3.59584813545386e-19,3.98414398449938e-17,"S000000076","S000000076",NA
"S000001821",15.976648006452,2.70125637971784,0.560715498993515,4.81751687721599,1.45355799619628e-06,1.87675740195424e-05,"S000001821","S000001821",NA
"S000000080",7746.94113847539,-1.46450791254476,0.468291423981742,-3.12734301237569,0.00176393995668234,0.00815922129477691,"S000000080","S000000080","YAT1"
"S000002144",17.9648413380698,-1.88739652237195,0.576986400826903,-3.2711282617182,0.00107119315396771,0.0053740132501441,"S000002144","S000002144",NA
"S000000094",182.590931748067,-1.00630382295269,0.297389739494217,-3.38378797017057,0.000714931906710133,0.00384154952729621,"S000000094","S000000094","PHO11"
"S000000111",6780.69595659764,-2.11225528651352,0.535470461925749,-3.9446719038751,7.99093123754968e-05,0.000584815054676383,"S000000111","S000000111","ACH1"
"S000000138",356.004309010949,-1.35754936520227,0.385905024545619,-3.51783283153855,0.00043508635440089,0.00254576677966008,"S000000138","S000000138","FUI1"
