"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sgd","systematic","genename"
"S000029717",3167.77256776416,-2.76950826160993,0.530033657038166,-5.22515546859038,1.74008841047762e-07,2.68007366928412e-06,"S000029717","S000029717","ETS1-1"
"S000029707",3152.33400645373,-2.76070079245476,0.528475570878544,-5.22389481100392,1.75198329041591e-07,2.69259109353921e-06,"S000029707","S000029707","ETS1-2"
"S000119380",35.759204341359,2.44993707593562,0.574664036382924,4.26325108380912,2.01473911755563e-05,0.000201094037759934,"S000119380","S000119380","HRA1"
"S000132612",276.71682008677,1.79916542855297,0.226926641945421,7.92840106004695,2.21985411432161e-15,1.17078874007376e-13,"S000132612","S000132612","ICR1"
"S000178119",3025.55250290627,1.05830334135387,0.332886516018778,3.17917155074604,0.00147696650130967,0.00902534510612188,"S000178119","S000178119","IRT1"
"S000132614",57.8102529712512,1.75688456158661,0.527714407145551,3.32923364948427,0.000870853143838867,0.00569140557150842,"S000132614","S000132614","PWR1"
"S000007260",11.538233346054,-2.38288183688146,0.785218655249424,-3.03467298051463,0.00240796624797013,0.0136847163348855,"S000007260","S000007260","COX1"
"S000007261",39.5887650716159,-3.48777204982594,0.604052540749794,-5.77395477137909,7.7432229558393e-09,1.59848394994529e-07,"S000007261","S000007261","AI1"
"S000007262",23.7633256472654,-2.8812176489361,0.663837488085489,-4.34024546767545,1.42323640095666e-05,0.000146032432727018,"S000007262","S000007262","AI2"
"S000007268",16.3680475496666,-2.35228877476576,0.716487701548388,-3.28308325416092,0.00102678336938508,0.00658041507928006,"S000007268","S000007268","ATP6"
"S000007270",26.2923291574316,-2.41685888678271,0.52892330477206,-4.56939383267345,4.89136868817879e-06,5.54517717717993e-05,"S000007270","S000007270","COB"
"S000007273",73.645069656284,-2.67911429207641,0.531529320677508,-5.04038853145769,4.64587668407188e-07,6.57460548964746e-06,"S000007273","S000007273","BI4"
"S000007288",78.3016420083531,-1.56391974197433,0.552581608904914,-2.83020592211466,0.00465180535039919,0.0238565675899733,"S000007288","S000007288","21S_RRNA"
