"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sgd","systematic","genename"
"S000029715",151.562849866501,-1.51852797635594,0.601061312232904,-2.5264111089012,0.0115234546054268,0.0320919149765378,"S000029715","S000029715","ITS1-1"
"S000029709",151.562849866501,-1.51852797635594,0.601061312232904,-2.5264111089012,0.0115234546054268,0.0320919149765378,"S000029709","S000029709","ITS1-2"
"S000007261",43.3817846497885,1.86653008658447,0.615972685630699,3.03021567372475,0.00244379161207857,0.00871170473435468,"S000007261","S000007261","AI1"
"S000007268",18.8757165230237,-2.49713712773291,0.925422904710299,-2.69837402448412,0.00696791045703799,0.0210400144743359,"S000007268","S000007268","ATP6"
"S000007497",45.2160874879465,1.76146720499772,0.636677776325714,2.76665413886943,0.00566348043977244,0.017778840316929,"S000007497","S000007497","SNR30"
"S000119075",556.447093282269,-1.56033302622991,0.421778357289103,-3.69941463155824,0.000216097311793786,0.00102209105601758,"S000119075","S000119075","SNR86"
"S000002136",2783.07517104988,2.28121347039568,0.236092846567515,9.66235743082257,4.3571976161932e-22,1.97253284564656e-20,"S000002136","S000002136",NA
"S000000004",22569.2702888114,2.28743298826764,0.209146398893487,10.9369943750864,7.67006591318612e-28,5.36993800735972e-26,"S000000004","S000000004","SSA1"
"S000000010",730.509993036141,1.53913942869314,0.297109470843225,5.18037820983933,2.21436466281141e-07,1.95207754535689e-06,"S000000010","S000000010","CYS3"
"S000000016",29.2910297515288,-4.28830122168496,0.778127107779979,-5.51105491481927,3.56689407089593e-08,3.57937820014406e-07,"S000000016","S000000016","LDS1"
"S000000017",529.11722361173,1.05618194957353,0.337423576123248,3.13013679040537,0.00174724920271061,0.00645410272976722,"S000000017","S000000017","FUN30"
"S000028730",44.0927485171115,1.04565747038812,0.343356780953262,3.04539630027128,0.00232373896510272,0.00835297451276624,"S000028730","S000028730",NA
"S000000027",452.57694736129,1.14746756800082,0.232604352403196,4.93313025377874,8.09221514213812e-07,6.35244163895875e-06,"S000000027","S000000027","MYO4"
"S000000035",173.457912245501,2.11785810622489,0.290538499047301,7.28942330592854,3.11284572737787e-13,5.83876764004429e-12,"S000000035","S000000035",NA
"S000000049",3276.28530690301,1.30005333544014,0.299274719372134,4.34401321357047,1.3990309468426e-05,8.63955418557875e-05,"S000000049","S000000049","FLC2"
"S000000050",16934.0316008188,-3.99367216526148,0.65068032557512,-6.1376869843599,8.37316377271552e-10,1.0681105736339e-08,"S000000050","S000000050","ACS1"
"S000000057",8105.76077857224,1.90742138778479,0.429286874066068,4.4432324932703,8.86173172808042e-06,5.67018987617133e-05,"S000000057","S000000057","BDH2"
"S000000058",9529.49367003914,-1.91789458720357,0.334680842865665,-5.73051797880579,1.00124414149559e-08,1.10008959415053e-07,"S000000058","S000000058","GDH3"
"S000000066",118.602476888505,-1.56078119121402,0.255660740220823,-6.10489193556241,1.02870258779329e-09,1.28769610833751e-08,"S000000066","S000000066","SEN34"
"S000000071",63.685897933386,1.04961559052334,0.296187715602809,3.54375126053804,0.000394477226444055,0.00173115698281316,"S000000071","S000000071","KIN3"
"S000000076",245.074087147375,3.66846890189281,0.321428831143975,11.4130051396965,3.60070505274756e-30,2.89064601634574e-28,"S000000076","S000000076",NA
"S000001821",16.4711797997401,2.80386584813207,0.465826591155752,6.01911934905961,1.75368535445862e-09,2.15049684708663e-08,"S000001821","S000001821",NA
"S000000080",7854.09531447885,-1.41233432226684,0.529577436176386,-2.66690803985923,0.00765526153430636,0.0227841471567269,"S000000080","S000000080","YAT1"
"S000002144",18.6774698955724,-1.86358722269528,0.537608403819713,-3.46643990208203,0.000527399622573731,0.0022346749665844,"S000002144","S000002144",NA
"S000000111",6286.17433137421,-1.91153286086261,0.516670615700184,-3.69971274304448,0.000215843638862142,0.0010216938282932,"S000000111","S000000111","ACH1"
"S000000126",3276.18232774955,1.09041593263374,0.173867326955785,6.27154021244623,3.57493941836406e-10,4.78326894177112e-09,"S000000126","S000000126","PET9"
"S000000138",347.196982587216,-1.21152039786133,0.31650044844928,-3.82786313193953,0.000129260597223902,0.000651824167407969,"S000000138","S000000138","FUI1"
"S000000139",698.997898500555,1.65375048369607,0.525179987067411,3.14892136871125,0.00163874282575033,0.00612735708838822,"S000000139","S000000139","ECM13"
"S000000159",174.465709217514,-1.09645159015249,0.16703655498256,-6.56414154534598,5.2333472660726e-11,7.87749597225578e-10,"S000000159","S000000159","KIP1"
"S000000163",1437.05178977855,-1.50032628846736,0.408653679726444,-3.67138817756808,0.000241236621976606,0.00112074513959965,"S000000163","S000000163","UBP13"
"S000000165",474.829590908761,4.76527383522355,0.258988127709678,18.3995840943155,1.32376880118085e-75,6.64200995992492e-73,"S000000165","S000000165","AST1"
"S000000166",14.6887346439607,3.77457020665541,0.59443472536977,6.34984809191189,2.15527648922365e-10,2.99697915510752e-09,"S000000166","S000000166",NA
