"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sgd","systematic","genename"
"S000029717",3736.82780548423,-1.91478845631511,0.626964744387094,-3.05406081196314,0.00225766311499241,0.00644847704713914,"S000029717","S000029717","ETS1-1"
"S000029707",3717.47985387149,-1.91478626303779,0.625459554519058,-3.06140700738059,0.00220299410963073,0.00631329249599554,"S000029707","S000029707","ETS1-2"
"S000178119",3185.39671688781,-3.4291664464026,0.39942576473938,-8.58524098624455,9.06462119930443e-18,3.03211579116733e-16,"S000178119","S000178119","IRT1"
"S000029715",151.562849866501,-2.80269945121808,0.60892947913388,-4.60266672456807,4.17115413047991e-06,2.59179762844371e-05,"S000029715","S000029715","ITS1-1"
"S000029709",151.562849866501,-2.80269945121808,0.60892947913388,-4.60266672456807,4.17115413047991e-06,2.59179762844371e-05,"S000029709","S000029709","ITS1-2"
"S000029716",53.012111702459,-2.75633321518131,0.804801121226815,-3.42486254365506,0.000615110545124701,0.00208887794258084,"S000029716","S000029716","ITS2-1"
"S000029712",53.012111702459,-2.75633321518131,0.804801121226815,-3.42486254365506,0.000615110545124701,0.00208887794258084,"S000029712","S000029712","ITS2-2"
"S000007260",12.3772997358867,1.66025186073525,0.717350883011424,2.31442087833718,0.0206446467309215,0.0429595697828889,"S000007260","S000007260","COX1"
"S000007261",43.3817846497885,2.17815658955704,0.60833006709102,3.58055060466236,0.000342870928147584,0.00124889646604755,"S000007261","S000007261","AI1"
"S000007262",25.9793291531659,1.51198916887072,0.656855666553877,2.30185906259013,0.02134312148429,0.0441149792162411,"S000007262","S000007262","AI2"
"S000007273",85.3955642534725,-3.13945991722054,0.681228738691965,-4.60852535852885,4.05534920187961e-06,2.54081764250959e-05,"S000007273","S000007273","BI4"
"S000144908",2292.91101848665,-1.02193494420698,0.269471644247625,-3.79236541588728,0.000149219123562828,0.000598566517636099,"S000144908","S000144908","RME2"
"S000144910",253.36322152133,-1.19002543655859,0.18283232325129,-6.50883506480955,7.57358210990128e-11,1.10680917193484e-09,"S000144910","S000144910","RME3"
"S000028470",42635.6639261714,-1.0434751062243,0.321589745818853,-3.244739982512,0.00117557913835448,0.00365796485376349,"S000028470","S000028470","RUF5-1"
"S000007497",45.2160874879465,1.50831191603089,0.635836598741131,2.37216907459737,0.0176839964467557,0.0377840108608644,"S000007497","S000007497","SNR30"
"S000119075",556.447093282269,-1.05911776277645,0.42025055526907,-2.52020550478115,0.0117286336336769,0.0266242497646608,"S000119075","S000119075","SNR86"
"S000002136",2783.07517104988,1.21724774923699,0.236266212910172,5.15201786257854,2.57698483152094e-07,2.04427215686266e-06,"S000002136","S000002136",NA
"S000000004",22569.2702888114,1.21659013801772,0.209171183417017,5.81624159764037,6.01854626150597e-09,6.37987095783934e-08,"S000000004","S000000004","SSA1"
"S000000005",195.791054525283,1.20634599701291,0.26201252193457,4.6041539851067,4.14145958183133e-06,2.57866888750842e-05,"S000000005","S000000005","ERP2"
"S000000006",1112.93188822778,-1.29778912438309,0.15711059862228,-8.26035376202207,1.45241363886269e-16,4.18420216248432e-15,"S000000006","S000000006","FUN14"
"S000000010",730.509993036141,2.51086441258401,0.295731012276421,8.49036559695366,2.05988056014507e-17,6.59709619820928e-16,"S000000010","S000000010","CYS3"
"S000000016",29.2910297515288,-4.91409819962769,0.798191726604868,-6.15653863079984,7.4352044722e-10,9.32653460981588e-09,"S000000016","S000000016","LDS1"
"S000000021",954.575285010164,1.4266933876084,0.20606245313637,6.92359702553007,4.40317317823897e-12,7.89032907921929e-11,"S000000021","S000000021","PMT2"
"S000028730",44.0927485171115,1.21915751989564,0.33615860444205,3.62673304739343,0.000287029766566253,0.00106877317532184,"S000028730","S000028730",NA
"S000000026",416.350288753079,-1.07849929628338,0.312776208626653,-3.4481500399883,0.000564440394414928,0.00193756876554862,"S000000026","S000000026","FRT2"
"S000000027",452.57694736129,1.28441033898948,0.231819568043193,5.540560487759,3.01505071131157e-08,2.79286466658568e-07,"S000000027","S000000027","MYO4"
"S000002134",3215.42033076092,-1.04367438584957,0.433171622826403,-2.40937847922653,0.0159797167129394,0.0345223804551876,"S000002134","S000002134","FUN19"
"S000000032",49.5329133198097,1.66166085711095,0.352878223341498,4.7088790047066,2.49082866865448e-06,1.6462436239263e-05,"S000000032","S000000032","MTW1"
"S000000034",384.367117688053,1.20696898586979,0.403819381580844,2.988883250588,0.00279999098955397,0.00774402652646047,"S000000034","S000000034","RBG1"
"S000000038",359.896498295309,2.22219867961507,0.334906737454736,6.63527612643328,3.23895619408027e-11,5.05226819807183e-10,"S000000038","S000000038","CLN3"
"S000000044",104.944338882963,1.02063575098511,0.257638196101903,3.96150790693094,7.44779152368828e-05,0.000327322282949833,"S000000044","S000000044","BOL3"
"S000000050",16934.0316008188,-3.50061557806713,0.650609328229105,-5.38051857878439,7.42715730954939e-08,6.44364757360185e-07,"S000000050","S000000050","ACS1"
"S000000056",2661.77966838186,-1.35571572637665,0.417711530077624,-3.24557889537959,0.00117212080811399,0.00365097743696552,"S000000056","S000000056","BDH1"
"S000000057",8105.76077857224,-1.2718152300729,0.429536330429318,-2.96090258256324,0.00306738944621768,0.00834557246076667,"S000000057","S000000057","BDH2"
"S000000058",9529.49367003914,-2.23521498321647,0.334678139798768,-6.67870027173104,2.41070624736648e-11,3.83991066544803e-10,"S000000058","S000000058","GDH3"
"S000000059",906.203491549383,-1.07904242825666,0.189826924957056,-5.68434866919308,1.3131213666045e-08,1.29399406682908e-07,"S000000059","S000000059","FLO9"
"S000000070",717.111741547593,1.61031317929692,0.199253994028418,8.08171091951739,6.38643518812744e-16,1.75583224966737e-14,"S000000070","S000000070","ADE1"
"S000000071",63.685897933386,3.05458487546271,0.271688610934577,11.2429625406648,2.50821205212886e-29,1.81951141757444e-27,"S000000071","S000000071","KIN3"
"S000000076",245.074087147375,1.27660020466233,0.326449496483431,3.91055957633288,9.20825435512437e-05,0.000396020710515742,"S000000076","S000000076",NA
"S000000080",7854.09531447885,-2.00478596734784,0.529597777771609,-3.78548787682491,0.000153407313214884,0.000612104329268929,"S000000080","S000000080","YAT1"
"S000000081",1336.25832906969,-1.45443028677379,0.455689278812322,-3.19171495665757,0.00141430829675408,0.00428563173364687,"S000000081","S000000081","SWH1"
"S000002144",18.6774698955724,-2.88050163049229,0.570120049806859,-5.05244751779581,4.36184231914165e-07,3.28283157544398e-06,"S000002144","S000002144",NA
"S000000091",13.2638158342196,-1.72582143021115,0.588796593878698,-2.93109954804986,0.00337764526119297,0.009054675920589,"S000000091","S000000091",NA
"S000000098",450.245246676024,1.76471833927785,0.404788788621191,4.35960280740213,1.30298728450534e-05,7.08670107980041e-05,"S000000098","S000000098","HTB2"
"S000000099",359.482776365649,1.06836947030748,0.386605188657158,2.76346386870381,0.00571914238489354,0.014282437287202,"S000000099","S000000099","HTA2"
"S000000105",149.191595012858,2.51585376024159,0.285096992798527,8.82455383182348,1.09897061834266e-18,4.05944913683508e-17,"S000000105","S000000105","ALK2"
"S000000106",66.9940905407967,1.11483242224193,0.369030552232708,3.02097594764707,0.002519613739406,0.00707913874240015,"S000000106","S000000106",NA
"S000000125",914.095626202214,-1.31260611572008,0.325844918691809,-4.02831543603592,5.61779372508789e-05,0.000256248000142077,"S000000125","S000000125",NA
"S000000126",3276.18232774955,1.43824080135619,0.173665910490286,8.28165295823351,1.21477171443511e-16,3.53340120416125e-15,"S000000126","S000000126","PET9"
"S000000127",64.9987754560866,2.78484867366772,0.439887251180017,6.33082378768022,2.43855712562254e-10,3.24835231269321e-09,"S000000127","S000000127","SHE1"
"S000000135",365.264951753711,2.66397218547136,0.431218306186576,6.17778082992314,6.5008873546716e-10,8.22307621060456e-09,"S000000135","S000000135","URA7"
