"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sgd","systematic","genename"
"S000029717",3167.77256776416,-1.66322565414399,0.53122783854019,-3.13090830991561,0.00174266560091515,0.00700053946989326,"S000029717","S000029717","ETS1-1"
"S000029707",3152.33400645373,-1.66322499806517,0.529672868597803,-3.14009853377652,0.00168891018375841,0.00681716838646117,"S000029707","S000029707","ETS1-2"
"S000178119",3025.55250290627,-3.20676941202398,0.334451812129001,-9.58813585613673,8.96907994041625e-22,1.25555725738989e-19,"S000178119","S000178119","IRT1"
"S000029715",136.064072812925,-2.54785318992358,0.549361397677761,-4.63784532494232,3.5206008742196e-06,3.31706976237448e-05,"S000029715","S000029715","ITS1-1"
"S000029709",136.064072812925,-2.54785318992358,0.549361397677761,-4.63784532494232,3.5206008742196e-06,3.31706976237448e-05,"S000029709","S000029709","ITS1-2"
"S000029716",46.674871461895,-2.43986671985642,0.774512540886042,-3.15019653144056,0.00163160664630139,0.00661200844785534,"S000029716","S000029716","ITS2-1"
"S000029712",46.674871461895,-2.43986671985642,0.774512540886042,-3.15019653144056,0.00163160664630139,0.00661200844785534,"S000029712","S000029712","ITS2-2"
"S000007261",39.5887650716159,2.30236202119319,0.611052311778548,3.76786402213563,0.000164650342500056,0.000911443588440472,"S000007261","S000007261","AI1"
"S000007262",23.7633256472654,1.66841675714653,0.674807146574482,2.47243492546856,0.0134196142845878,0.0386550880632031,"S000007262","S000007262","AI2"
"S000007273",73.645069656284,-2.91364429324175,0.639503203637389,-4.55610585946939,5.21106812181287e-06,4.67772714450313e-05,"S000007273","S000007273","BI4"
"S000144910",245.510051773083,-1.06605139407626,0.202590484185176,-5.26210003576399,1.42419237030703e-07,2.08138870642111e-06,"S000144910","S000144910","RME3"
"S000007497",41.5313712389374,1.75154417706441,0.627567215359184,2.79100649969729,0.00525444171220795,0.0178643519011865,"S000007497","S000007497","SNR30"
"S000002136",2758.65528425381,1.34736970051793,0.200382701198414,6.72398212250764,1.76824137141312e-11,6.51378193855868e-10,"S000002136","S000002136",NA
"S000000004",22322.3563124837,1.33359042945607,0.185344300635906,7.19520602943061,6.23665190415087e-13,2.9812864771247e-11,"S000000004","S000000004","SSA1"
