"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sgd","systematic","genename"
"S000029717",3167.77256776416,-4.43273391575392,0.53083495284304,-8.35049367418844,6.79782339611211e-17,7.77290318405043e-15,"S000029717","S000029717","ETS1-1"
"S000029707",3152.33400645373,-4.42392579051993,0.529279225409027,-8.35839681238408,6.35762896302536e-17,7.32819280391302e-15,"S000029707","S000029707","ETS1-2"
"S000119380",35.759204341359,2.94221132326088,0.568648121009137,5.17404562603593,2.2907884599103e-07,3.43931086738423e-06,"S000119380","S000119380","HRA1"
"S000132612",276.71682008677,1.31842843719686,0.227819296737957,5.78716753178876,7.1583178012808e-09,1.69735584023608e-07,"S000132612","S000132612","ICR1"
"S000178119",3025.55250290627,-2.14846607067011,0.334710012595437,-6.41888796218042,1.37273385874499e-10,5.13625262906861e-09,"S000178119","S000178119","IRT1"
"S000029715",136.064072812925,-3.02590976098463,0.548257534930062,-5.51913939745603,3.40663884944972e-08,6.579876902052e-07,"S000029715","S000029715","ITS1-1"
"S000029709",136.064072812925,-3.02590976098463,0.548257534930062,-5.51913939745603,3.40663884944972e-08,6.579876902052e-07,"S000029709","S000029709","ITS1-2"
"S000029716",46.674871461895,-3.50471189201613,0.769541475906761,-4.55428589847802,5.25638285659097e-06,5.12130062503441e-05,"S000029716","S000029716","ITS2-1"
"S000029712",46.674871461895,-3.50471189201613,0.769541475906761,-4.55428589847802,5.25638285659097e-06,5.12130062503441e-05,"S000029712","S000029712","ITS2-2"
"S000006478",227.474775593794,-1.15991936674328,0.309361740770037,-3.74939500875612,0.000177261689299276,0.00103963944405193,"S000006478","S000006478","LSR1"
"S000007436",24.0937036056998,-1.3412451195531,0.549309411030264,-2.44169332004983,0.0146185591462322,0.0431166045970073,"S000007436","S000007436","NME1"
"S000132614",57.8102529712512,1.74200703094581,0.526533658233359,3.30844382634652,0.000938160031980947,0.00427859647003946,"S000132614","S000132614","PWR1"
"S000007287",23.3524213335482,-2.20141481352693,0.758248147845663,-2.90329072320401,0.00369263673613057,0.0136874628810981,"S000007287","S000007287","15S_RRNA"
"S000007268",16.3680475496666,-3.08213181216861,0.739523888675522,-4.16772447701273,3.07655484362143e-05,0.000228550927130359,"S000007268","S000007268","ATP6"
"S000007270",26.2923291574316,-3.10224504999526,0.548515001354463,-5.6557159646223,1.55197943334496e-08,3.3058780984798e-07,"S000007270","S000007270","COB"
"S000007273",73.645069656284,-5.59275858531816,0.626229743273352,-8.9308415088756,4.22780425447756e-19,6.95517049972065e-17,"S000007273","S000007273","BI4"
