"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sgd","systematic","genename"
"S000178119",3025.55250290627,3.60438461522179,0.334379293730185,10.7793295900978,4.31015573353965e-27,1.60046566548922e-24,"S000178119","S000178119","IRT1"
"S000007273",73.645069656284,1.97521325764604,0.65202235225644,3.02936433208227,0.00245068945450969,0.025411337672082,"S000007273","S000007273","BI4"
"S000000005",190.761599810697,-1.51821777718627,0.331676418128029,-4.57740645462539,4.70776196668229e-06,0.000120897087215417,"S000000005","S000000005","ERP2"
"S000000010",721.050383307748,-1.19610384618986,0.336093790174388,-3.55883947028369,0.000372497108664164,0.00527601832570819,"S000000010","S000000010","CYS3"
"S000000022",155.654353730212,-1.17572605969374,0.304383328839122,-3.8626493250396,0.000112163961509442,0.00190720379601266,"S000000022","S000000022","LTE1"
"S000000031",104.968612771411,-1.35329601268187,0.297347757762986,-4.55122319691603,5.33349319169981e-06,0.000135447066470913,"S000000031","S000000031","POP5"
"S000000032",49.8920799486859,-1.77349271435718,0.406197809127594,-4.36608143743112,1.26495334021268e-05,0.00027673875702519,"S000000032","S000000032","MTW1"
"S000000035",171.020723532758,2.24151130891612,0.376897101769327,5.94727658661593,2.72640508638302e-09,1.36211198115696e-07,"S000000035","S000000035",NA
"S000000038",381.988597851087,-2.43660269315741,0.383630294942794,-6.35143450681012,2.13316233348923e-10,1.27980424889994e-08,"S000000038","S000000038","CLN3"
"S000000044",106.210696821778,-1.06406556191411,0.348964841202016,-3.04920563988313,0.00229447364563448,0.0241114199542724,"S000000044","S000000044","BOL3"
"S000000057",7774.6496138456,2.97842202650238,0.345279151864275,8.62612761419536,6.34642036564205e-18,1.0453741342776e-15,"S000000057","S000000057","BDH2"
"S000000066",116.068032730536,-2.14225878245356,0.326085033224028,-6.56963234795809,5.04396454607658e-11,3.25347553514301e-09,"S000000066","S000000066","SEN34"
"S000000070",744.464359868919,-1.68095474612474,0.25583451879142,-6.57047670527686,5.01544304658601e-11,3.25033830269081e-09,"S000000070","S000000070","ADE1"
"S000000071",67.1075730299033,-2.21791338153351,0.285734311785405,-7.76215277638491,8.34997331869592e-15,9.88843037014395e-13,"S000000071","S000000071","KIN3"
"S000000076",240.786997665136,2.19062288039112,0.383671627211085,5.70962960257132,1.1322231056452e-08,5.16797782340842e-07,"S000000076","S000000076",NA
"S000001821",15.976648006452,1.86599950561617,0.498241285662113,3.74517238798557,0.000180269949871498,0.00286990595745598,"S000001821","S000001821",NA
"S000000094",182.590931748067,-1.08178425777567,0.296281229885972,-3.65120753073698,0.000261010217643794,0.00393414970086214,"S000000094","S000000094","PHO11"
"S000000098",448.690794026491,-1.95950316802424,0.456955238556093,-4.28817311344533,1.80148671315393e-05,0.000375317796869838,"S000000098","S000000098","HTB2"
"S000000099",362.75963214449,-1.44932347306273,0.446350164770795,-3.247054862872,0.00116605909862539,0.0136927230393284,"S000000099","S000000099","HTA2"
"S000000105",148.847437304234,-2.56893542396155,0.350119338012913,-7.33731372434733,2.17923385005526e-13,2.10848548351473e-11,"S000000105","S000000105","ALK2"
"S000000120",414.186720353681,-1.25804369004306,0.343995579487194,-3.65715074571154,0.000255034407078685,0.00386215725319318,"S000000120","S000000120","NCL1"
"S000000127",64.3732977956819,-3.62606859579835,0.591572006515063,-6.12954730085934,8.81294717705172e-10,4.71132611928068e-08,"S000000127","S000000127","SHE1"
"S000000128",254.777161354161,-1.21556609784688,0.219046739183341,-5.54934578062566,2.86740560281154e-08,1.22345607382074e-06,"S000000128","S000000128","HEK2"
"S000000135",354.347930117764,-2.28458479810125,0.478784864580982,-4.77163120037358,1.82739883565462e-06,5.12380257205281e-05,"S000000135","S000000135","URA7"
"S000000138",356.004309010949,-1.51207183074183,0.385448299560418,-3.92289142919104,8.74925847903728e-05,0.00153913011835459,"S000000138","S000000138","FUI1"
"S000000145",1257.76394894312,1.12998027287263,0.220366926260555,5.12772171417672,2.93269508428604e-07,1.00730744407515e-05,"S000000145","S000000145","MOH1"
"S000000159",178.925226821718,-1.33458261766739,0.251321528354187,-5.31025983490983,1.09469052355149e-07,4.08839888698798e-06,"S000000159","S000000159","KIP1"
"S000000164",296.298106086671,-1.40436895534714,0.483772885370375,-2.90295094623164,0.00369664533924996,0.0356909418945574,"S000000164","S000000164","PRS4"
"S000000165",462.992508403384,2.56269404291199,0.296813966175179,8.63400761067791,5.92390560589974e-18,9.92543159993372e-16,"S000000165","S000000165","AST1"
"S000000166",14.2941074367222,2.10947777937392,0.547904259836575,3.85008464800605,0.00011807700972053,0.00198904684597374,"S000000166","S000000166",NA
"S000000171",30395.2312477929,1.78013169214255,0.240946262125532,7.38808594264518,1.48957457835839e-13,1.47232123252272e-11,"S000000171","S000000171","SSA3"
"S000000177",108.524120181963,-1.94796893829874,0.362354998573263,-5.37585778026706,7.62189381849553e-08,2.9833959878151e-06,"S000000177","S000000177",NA
"S000000197",1827.50183865539,1.80339363778078,0.24837329154644,7.26081949694493,3.84752099422179e-13,3.50073449931213e-11,"S000000197","S000000197","ECM21"
"S000000205",1587.61894324813,1.32482434184544,0.191775448088915,6.90820621225296,4.90820180201312e-12,3.83146503169649e-10,"S000000205","S000000205","NTH2"
"S000000210",3128.13823108519,2.23288593434422,0.306366063551923,7.28829397243534,3.13904456711908e-13,2.93383219779925e-11,"S000000210","S000000210","UGA2"
"S000000233",424.84506435772,-2.9231837040262,0.280861472902815,-10.4079198681611,2.28152341003349e-25,6.53038544384378e-23,"S000000233","S000000233","CDS1"
"S000000234",167.369180835342,-2.01160550361444,0.473667723835799,-4.24687054318225,2.16777128801827e-05,0.000443199549495284,"S000000234","S000000234","RKM3"
"S000000242",276.412079865418,-1.52435185712124,0.242065455175712,-6.29727135586005,3.02930713028965e-10,1.77861754970297e-08,"S000000242","S000000242","CHS2"
"S000000251",370.185058884605,1.43050635595411,0.249241409523975,5.73944096483096,9.49895881073124e-09,4.37940252015559e-07,"S000000251","S000000251","FMP23"
"S000000255",72.9902188218211,-1.10131385440782,0.301664694129094,-3.65078803002555,0.000261436941391238,0.00393415349153803,"S000000255","S000000255",NA
"S000000256",661.395535165293,-1.19054089570717,0.329484161622964,-3.61334787639816,0.000302268725949055,0.00445586912640995,"S000000256","S000000256","RFS1"
"S000000258",21188.255840435,2.4630366209353,0.79482467787125,3.09884266242458,0.00194278163046903,0.0211504570689493,"S000000258","S000000258","YRO2"
"S000028736",19.0323943075171,-1.95899700125551,0.703657414094935,-2.78402097670673,0.00536895617580721,0.0474672386740124,"S000028736","S000028736",NA
"S000000270",161.018338358451,-3.13294706651613,0.447534403264381,-7.0004608442702,2.55121928641776e-12,2.12431525915719e-10,"S000000270","S000000270","NRG2"
"S000000273",1260.60842414952,-2.9057870637357,0.509450004194621,-5.70377277418889,1.17184268825596e-08,5.3135137603791e-07,"S000000273","S000000273","TAT1"
"S000000282",2938.11788530029,-3.53969198845652,0.376398318311848,-9.40411212338059,5.24713289689317e-21,1.14429141064151e-18,"S000000282","S000000282","ECM33"
"S000000288",450.445828304473,-2.12038238881103,0.444869182255326,-4.76630540704452,1.87634775262354e-06,5.23966296205179e-05,"S000000288","S000000288","MIS1"
"S000000292",501.85720144241,-2.23626099651787,0.304662729091021,-7.34012001792896,2.13402403793034e-13,2.07938696859042e-11,"S000000292","S000000292","POL30"
"S000000293",371.322132900237,-2.24032672669549,0.305588198367526,-7.33119517921004,2.28109161365279e-13,2.19160263496333e-11,"S000000293","S000000293",NA
"S000000296",240.497793857219,-2.55331004338228,0.367933868917122,-6.93958958140225,3.93240698401031e-12,3.10501951455849e-10,"S000000296","S000000296","PHO3"
"S000000297",2663.0428211795,-5.54143214129518,0.269119898798423,-20.5909416807779,3.3087539478153e-94,2.27294852445172e-90,"S000000297","S000000297","PHO5"
"S000000309",874.506648463595,1.54731513444775,0.317450869681174,4.87418773179536,1.09257055574418e-06,3.26322323160202e-05,"S000000309","S000000309","VID24"
"S000000312",1049.67972332242,1.48121970521762,0.273200920473668,5.42172296729281,5.90273114209707e-08,2.35748904538581e-06,"S000000312","S000000312","AIM3"
"S000000318",1166.44625288417,1.08783540495695,0.26749660673545,4.06672599788454,4.76782464668879e-05,0.000894879000284935,"S000000318","S000000318","RAD16"
"S000000342",118.174247017727,-1.09892182527603,0.266968783827791,-4.11629333407346,3.85014242688978e-05,0.000736384088960114,"S000000342","S000000342",NA
"S000000351",1124.55432160733,1.04275524936845,0.179734627567456,5.80163802312989,6.56702081947143e-09,3.12194806362346e-07,"S000000351","S000000351","RTC2"
