"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sgd","systematic","genename"
"S000029717",3736.82780548423,-4.87099197701431,0.626656893409762,-7.77298076226417,7.66603878748996e-15,2.88482622121731e-13,"S000029717","S000029717","ETS1-1"
"S000029707",3717.47985387149,-4.8619191787891,0.625151293153088,-7.77718806957423,7.41543255733098e-15,2.80807040425722e-13,"S000029707","S000029707","ETS1-2"
"S000119380",34.1924490559531,2.59124036469217,0.472821874593144,5.48037327359674,4.24429430050149e-08,4.81259811361949e-07,"S000119380","S000119380","HRA1"
"S000178119",3185.39671688781,-2.50596895153182,0.399657389483904,-6.27029304967411,3.60369222985222e-10,6.49635656165874e-09,"S000178119","S000178119","IRT1"
"S000029715",151.562849866501,-3.42986560649375,0.608119971591976,-5.64011340971885,1.69938198719766e-08,2.12936859562358e-07,"S000029715","S000029715","ITS1-1"
"S000029709",151.562849866501,-3.42986560649375,0.608119971591976,-5.64011340971885,1.69938198719766e-08,2.12936859562358e-07,"S000029709","S000029709","ITS1-2"
"S000029716",53.012111702459,-3.9027198276917,0.800937440280356,-4.87268996480626,1.10088915226133e-06,9.0925289242325e-06,"S000029716","S000029716","ITS2-1"
"S000029712",53.012111702459,-3.9027198276917,0.800937440280356,-4.87268996480626,1.10088915226133e-06,9.0925289242325e-06,"S000029712","S000029712","ITS2-2"
"S000006478",239.401309608499,-1.55843997102891,0.328798033493375,-4.73980928191992,2.13919475861083e-06,1.6345293961416e-05,"S000006478","S000006478","LSR1"
"S000007436",25.9903319387323,-1.75652887615194,0.530944788399129,-3.30830797199859,0.000938615293367362,0.00370340935869258,"S000007436","S000007436","NME1"
"S000132614",57.8938284853734,1.31375783080491,0.545214200601218,2.40961777840014,0.0159692407584332,0.0419323151358596,"S000132614","S000132614","PWR1"
"S000007287",26.4436312739741,-2.63429282585777,0.748212398739056,-3.52078210718946,0.000430276027142371,0.001875953627389,"S000007287","S000007287","15S_RRNA"
"S000007261",43.3817846497885,-1.60961842026949,0.532860036979482,-3.02071521331121,0.00252178423750193,0.00860751864739178,"S000007261","S000007261","AI1"
"S000007262",25.9793291531659,-1.61621758641808,0.586849071200124,-2.75406005689481,0.00588609660094843,0.0179990795501831,"S000007262","S000007262","AI2"
"S000007268",18.8757165230237,-3.51538508296847,0.698752743144512,-5.0309428012384,4.88073755679125e-07,4.39266380111213e-06,"S000007268","S000007268","ATP6"
"S000007270",29.1933144548015,-3.48268134810879,0.498347525844396,-6.98845919262419,2.77921484783278e-12,7.18182514970008e-11,"S000007270","S000007270","COB"
"S000007273",85.3955642534725,-6.00660975103444,0.669509457083019,-8.97165781228035,2.92084599867818e-19,2.04493183233038e-17,"S000007273","S000007273","BI4"
"S000007288",85.9869667277454,-1.76186895343998,0.602534878274103,-2.92409454949175,0.00345459797596859,0.0113475910601783,"S000007288","S000007288","21S_RRNA"
"S000144908",2292.91101848665,-1.72194156079822,0.269297423519341,-6.39419990839442,1.61390170820282e-10,3.1245344646589e-09,"S000144908","S000144908","RME2"
