DBID,2SD1K-1,2SD1K-2,2SD1K-3,2SD7K-1,2SD7K-2,2SD7K-3,0.5SD1K-1,0.5SD1K-2,0.5SD1K-3,0.5SD7K-1,0.5SD7K-2,0.5SD7K-3
S000006489,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
S000144908,1527 ,1478 ,1288 ,1750 ,1714 ,1768 ,2830 ,2768 ,4206 ,2303 ,2345 ,2205 
S000144910,167 ,131 ,174 ,232 ,298 ,285 ,299 ,257 ,268 ,268 ,259 ,332 
S000114171,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
S000006490,3 ,0 ,7 ,7 ,4 ,3 ,30 ,33 ,112 ,0 ,8 ,0 
S000130127,23 ,24 ,27 ,19 ,13 ,30 ,20 ,7 ,14 ,14 ,15 ,19 
S000130129,1 ,0 ,1 ,0 ,0 ,3 ,3 ,4 ,7 ,0 ,41 ,6 
S000130131,1 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,1 ,0 
S000130133,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 
S000028470,25575 ,20297 ,16774 ,22435 ,19370 ,20894 ,62226 ,78604 ,104859 ,32421 ,21182 ,54160 
S000028474,24982 ,20297 ,16507 ,22435 ,19148 ,17656 ,50004 ,68229 ,102354 ,29131 ,16182 ,51878 
S000006491,74 ,69 ,30 ,27 ,32 ,27 ,80 ,82 ,112 ,56 ,26 ,43 
S000007499,5 ,3 ,12 ,6 ,3 ,3 ,2 ,7 ,14 ,0 ,6 ,2 
S000007293,104 ,86 ,72 ,44 ,52 ,98 ,143 ,87 ,192 ,76 ,95 ,55 
S000006508,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
S000006498,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
S000006499,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
S000087162,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
S000007294,26 ,18 ,28 ,23 ,37 ,21 ,70 ,84 ,171 ,15 ,18 ,13 
S000007441,6 ,1 ,1 ,2 ,1 ,4 ,7 ,6 ,3 ,2 ,1 ,1 
S000007500,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
S000007314,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
S000007295,51 ,65 ,53 ,39 ,63 ,42 ,121 ,148 ,255 ,109 ,58 ,76 
S000006509,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,1 ,0 ,0 ,0 
S000029463,0 ,1 ,3 ,1 ,0 ,0 ,5 ,3 ,9 ,2 ,1 ,0 
S000007501,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
S000006492,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
S000007497,38 ,23 ,53 ,40 ,39 ,28 ,56 ,66 ,134 ,7 ,19 ,3 
S000007296,31 ,7 ,23 ,3 ,12 ,11 ,6 ,10 ,9 ,8 ,4 ,8 
S000007297,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
S000007298,2 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,1 ,0 ,0 
S000006500,1 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
S000007299,0 ,1 ,0 ,1 ,0 ,0 ,2 ,1 ,4 ,0 ,0 ,0 
S000007300,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
S000006501,12 ,5 ,22 ,6 ,8 ,5 ,15 ,20 ,48 ,9 ,11 ,8 
S000007301,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
S000007302,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
S000007303,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
S000006493,0 ,0 ,0 ,0 ,0 ,1 ,0 ,3 ,5 ,0 ,0 ,0 
S000007304,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
S000007305,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
S000006502,22 ,12 ,22 ,15 ,8 ,9 ,10 ,18 ,31 ,8 ,8 ,11 
S000006503,3 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,1 ,0 ,1 
S000006504,3 ,1 ,3 ,2 ,0 ,1 ,3 ,2 ,5 ,2 ,0 ,3 
S000006505,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
S000006506,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,1 ,0 
S000006507,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
