DBID,2SD1K-1,2SD1K-2,2SD1K-3,2SD7K-1,2SD7K-2,2SD7K-3,0.5SD1K-1,0.5SD1K-2,0.5SD1K-3,0.5SD7K-1,0.5SD7K-2,0.5SD7K-3
WBGene00009240,1,1,1,1,2,0,1,0,0,3,3,0
WBGene00009241,37,28,31,65,71,98,62,68,50,278,176,109
WBGene00009242,0,0,0,0,2,2,0,3,0,0,1,0
WBGene00009243,197,262,179,163,178,185,134,227,161,199,153,147
WBGene00009245,761,875,1106,668,800,1193,754,962,711,444,689,649
WBGene00009246,1196,1169,1110,1152,1001,1314,1652,1217,1359,1700,1414,1205
WBGene00009247,5,4,9,3,2,14,14,18,7,3,12,4
WBGene00009248,0,0,0,0,0,0,0,0,0,0,1,0
WBGene00009249,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00009250,1,1,1,0,0,0,9,3,4,18,6,0
WBGene00009251,0,0,1,2,0,0,2,0,0,0,0,0
WBGene00009252,2,0,1,1,1,0,0,1,2,1,0,1
WBGene00009254,1527,1684,1997,1317,1499,1961,1125,1403,1274,795,1103,1041
WBGene00009255,1,2,3,4,3,1,0,0,1,0,2,0
WBGene00009256,383,402,411,373,418,487,333,467,436,266,380,337
WBGene00009257,9,1,1,2,0,1,21,10,5,24,9,9
WBGene00009258,4,15,21,12,3,8,11,7,11,6,4,6
WBGene00009259,1676,1647,1352,1610,1595,2002,3110,1869,1839,3367,2180,1989
WBGene00009260,63,80,93,53,49,90,35,87,42,15,36,28
WBGene00009261,1,1,2,6,5,0,2,0,0,21,0,0
WBGene00009262,924,963,880,852,941,1098,755,891,973,531,842,714
WBGene00009263,0,0,0,0,0,1,0,0,0,0,0,0
WBGene00009264,1439,1503,1410,1304,1461,1676,1293,1373,1370,1144,1302,1195
WBGene00009266,655,717,617,598,684,716,641,772,748,631,519,485
WBGene00009267,1754,1772,1827,1585,1681,2156,1660,1610,1575,1159,1413,1317
WBGene00009268,1,1,0,4,0,0,0,0,2,3,0,0
WBGene00009269,2,1,1,5,0,0,53,59,32,91,24,17
WBGene00009270,1170,1241,1203,1024,1165,1540,921,1163,1124,632,1000,1000
WBGene00009271,45,26,42,29,27,26,214,152,119,252,105,92
WBGene00009272,787,937,864,764,727,910,558,884,802,394,741,640
WBGene00009274,25,36,49,19,30,34,33,17,31,32,16,24
WBGene00009276,330,393,361,317,379,428,307,398,349,322,330,292
WBGene00009277,493,445,501,393,387,488,387,521,398,234,360,332
WBGene00009278,2,1,2,0,0,0,2,0,3,0,5,0
WBGene00009279,0,1,0,0,0,0,0,0,0,0,0,0
WBGene00009280,135,157,129,109,119,138,68,192,122,53,110,96
WBGene00009281,0,0,0,0,0,0,0,0,0,0,0,1
WBGene00009283,1,0,0,0,3,1,1,5,0,1,5,0
WBGene00009284,1113,1227,1296,998,1001,1401,883,1049,1007,630,871,878
WBGene00009285,1700,1585,2534,1453,1589,2534,1411,1702,1469,844,1051,1113
WBGene00009286,985,1128,1095,871,898,1115,696,1022,920,453,814,749
WBGene00009287,322,378,332,306,314,322,207,336,316,113,248,272
WBGene00009288,66,58,64,31,54,38,98,78,91,74,84,60
WBGene00009289,407,456,377,397,411,402,445,519,500,395,443,398
WBGene00009290,1095,1163,1237,981,1067,1456,774,980,919,621,894,793
WBGene00009291,39,33,25,52,50,41,92,68,61,43,56,29
WBGene00009292,5,18,18,5,13,12,4,4,6,8,3,4
WBGene00009293,13,15,9,27,36,30,40,30,24,46,35,26
WBGene00009294,482,594,509,464,550,568,486,921,622,524,531,474
WBGene00009295,6,10,18,5,3,9,21,9,13,40,24,20
WBGene00009296,2,6,3,6,8,3,11,13,12,10,4,9
WBGene00009297,59,72,92,44,53,64,0,22,53,0,5,7
WBGene00009298,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00009299,17,19,17,19,11,23,7,15,8,8,9,11
WBGene00009300,70,82,62,69,89,103,55,65,69,34,56,51
WBGene00009301,71,79,93,52,76,79,42,105,60,19,48,34
WBGene00009302,46,44,53,39,46,49,23,53,37,10,18,32
WBGene00009303,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00009304,30,27,52,20,41,27,28,17,38,31,20,20
WBGene00009305,729,734,703,687,689,963,611,736,666,488,651,591
WBGene00009306,444,399,367,451,414,535,735,503,413,1014,538,509
WBGene00009307,1135,1241,1116,1123,1105,1227,1186,1214,1155,1056,1043,1082
WBGene00009308,26,6,2,31,7,10,530,145,119,771,213,130
WBGene00009309,0,0,0,2,1,1,0,1,0,2,0,0
WBGene00009310,9,2,6,6,2,11,12,17,10,7,4,10
WBGene00009311,54,25,36,35,13,20,103,73,74,44,49,34
WBGene00009312,0,0,1,0,0,0,0,0,0,0,0,0
WBGene00009313,3,1,4,9,0,1,105,33,20,183,44,21
WBGene00009314,564,542,731,462,563,719,541,473,483,432,442,385
WBGene00009315,19,9,6,16,21,14,23,10,7,3,12,10
WBGene00009316,0,0,1,0,0,0,0,0,1,0,0,0
WBGene00009318,1,3,4,0,5,1,0,2,5,0,2,1
WBGene00009319,1677,1821,1580,1731,1816,2255,2140,1680,1752,2336,2099,1979
WBGene00009320,395,406,456,355,345,463,261,430,346,200,314,322
WBGene00009321,7,2,1,9,0,1,233,69,69,329,89,54
WBGene00009322,781,834,932,743,726,936,705,868,735,570,742,695
WBGene00009323,67,93,89,68,69,60,58,55,46,136,58,43
WBGene00009324,2,0,0,3,0,1,45,23,11,54,30,17
WBGene00009325,8,6,9,2,5,3,10,4,16,8,6,5
WBGene00009326,1,1,1,0,2,0,5,0,1,2,0,1
WBGene00009327,3,1,1,0,0,0,1,0,0,0,0,0
WBGene00009328,18,15,10,10,14,9,12,17,6,7,8,9
WBGene00009329,293,290,293,254,243,277,226,311,256,173,247,276
WBGene00009330,383,443,368,370,395,455,271,355,356,238,334,347
WBGene00009331,9,10,6,17,24,7,36,9,12,98,6,9
WBGene00009332,3,1,1,0,0,0,0,0,1,3,0,0
WBGene00009333,26,17,14,13,12,14,47,35,36,50,32,23
WBGene00009334,2986,2854,2098,1960,2616,2594,1124,1881,1404,1671,1612,2583
WBGene00009335,64,77,57,65,40,74,58,69,70,55,34,50
WBGene00009336,674,764,812,645,629,764,423,604,494,352,556,499
WBGene00009337,110,91,130,87,69,109,177,156,139,140,112,100
WBGene00009338,0,1,0,0,0,2,0,0,1,0,1,0
WBGene00009339,0,0,0,1,0,0,1,0,0,0,0,0
WBGene00009340,353,288,236,260,202,252,784,484,416,577,219,222
WBGene00009341,590,682,641,529,593,631,434,556,548,305,444,448
WBGene00009342,2312,2285,2844,1888,2366,3314,1845,1630,1546,2042,1666,1678
WBGene00009343,28,29,39,17,21,30,0,1,1,2,0,0
WBGene00009344,23,0,0,21,7,3,516,175,165,693,267,179
WBGene00009345,0,0,0,0,0,0,0,1,0,1,1,1
WBGene00009346,267,278,255,243,218,266,169,273,234,131,210,184
WBGene00009347,123,185,111,160,166,190,260,204,182,213,175,131
WBGene00009349,28,12,18,22,4,3,35,40,37,52,23,31
WBGene00009350,27,22,19,37,29,32,55,35,35,30,32,25
WBGene00009352,738,772,711,702,681,848,565,617,711,506,556,589
WBGene00009353,864,850,614,741,732,793,750,669,750,962,869,741
WBGene00009354,48,43,44,31,55,57,23,50,32,18,19,18
WBGene00009355,2,2,1,0,0,1,8,2,0,45,2,2
WBGene00009356,4,0,0,0,1,1,0,2,1,11,0,3
WBGene00009357,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00009358,40,41,22,42,40,41,106,58,50,82,29,28
WBGene00009359,4,1,0,0,0,1,0,1,0,0,0,0
WBGene00009360,7,3,1,2,3,4,16,5,11,7,2,1
WBGene00009361,317,313,530,202,369,343,10,36,67,11,22,23
WBGene00009362,2,0,0,0,0,0,0,0,0,0,0,0
WBGene00009363,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00009364,1009,1147,1044,900,1008,1255,683,866,850,465,773,790
WBGene00009365,1798,1818,2424,1473,1615,2428,1689,1963,1607,1033,1362,1339
WBGene00009366,1031,1153,1261,920,958,1270,793,1075,945,478,776,812
WBGene00009367,935,1164,1289,755,941,1090,275,480,596,213,380,330
WBGene00009368,1720,1794,2232,1373,1591,2297,1308,1723,1540,812,1168,1099
WBGene00009369,508,520,448,440,413,521,498,545,614,383,344,370
WBGene00009370,132,166,181,113,146,143,61,81,74,33,56,57
WBGene00009371,4,6,11,1,7,11,0,4,3,5,3,1
WBGene00009372,1017,1099,1213,801,1011,1273,707,977,861,401,770,647
WBGene00009373,20,26,28,7,16,12,11,19,17,11,7,15
WBGene00009374,673,817,856,679,667,858,569,640,600,444,555,536
WBGene00009375,26,11,21,26,35,29,34,14,16,12,23,23
WBGene00009377,11,0,0,13,2,0,132,119,62,184,78,47
WBGene00009378,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00009379,1,0,0,0,0,0,2,2,0,1,0,0
WBGene00009380,258,303,288,265,348,316,305,257,256,233,244,240
WBGene00009381,2,2,3,0,2,1,3,5,0,0,3,0
WBGene00009382,3,1,4,2,1,9,6,10,6,2,2,8
WBGene00009383,91,97,32,116,70,66,274,77,52,114,117,95
WBGene00009384,7,5,6,5,9,8,38,5,2,27,8,8
WBGene00009385,1050,1159,1274,930,1074,1355,750,997,930,454,854,770
WBGene00009386,38,41,15,41,59,32,105,87,39,112,54,62
WBGene00009387,28,13,6,29,19,5,20,58,38,38,31,41
WBGene00009388,125,137,81,134,146,106,278,133,96,121,131,140
WBGene00009389,43,40,26,48,54,38,142,74,96,115,50,54
WBGene00009390,3,3,0,4,6,4,14,7,10,22,8,4
WBGene00009391,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00009392,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00009393,212,153,136,177,144,173,253,172,253,275,140,102
WBGene00009394,4893,3592,3202,4185,3134,3999,5235,2957,3702,6350,3548,3139
WBGene00009395,0,0,0,0,0,0,0,1,0,2,1,1
WBGene00009396,419,259,250,247,267,290,203,141,179,169,127,107
WBGene00009397,501,176,139,104,80,80,84,72,284,47,34,13
WBGene00009398,0,0,0,0,0,0,3,0,0,11,1,2
WBGene00009399,4,1,0,3,4,3,2,2,1,1,7,4
WBGene00009400,8,9,6,8,7,14,28,30,25,40,12,7
WBGene00009401,2,0,0,2,0,0,60,21,6,79,33,18
WBGene00009402,0,3,0,0,0,0,45,9,0,50,20,10
WBGene00009403,62,75,63,30,47,54,71,152,102,94,85,53
WBGene00009404,1000,1243,1226,944,988,1245,771,1029,741,497,918,831
WBGene00009405,19,35,32,61,60,69,45,49,21,92,51,31
WBGene00009406,7,6,8,6,9,10,8,11,5,8,5,10
WBGene00009408,28,32,45,83,46,36,88,90,45,180,81,62
WBGene00009409,0,0,0,0,0,2,0,0,0,0,0,0
WBGene00009410,21,20,16,16,27,20,0,0,5,0,2,2
WBGene00009411,0,0,0,0,0,0,0,0,0,4,0,0
WBGene00009412,2,1,2,2,1,2,21,9,4,37,2,3
WBGene00009413,1,2,0,0,0,0,19,8,6,27,10,2
WBGene00009414,0,0,0,1,1,1,0,0,0,2,0,0
WBGene00009415,10,26,11,7,16,15,0,3,15,0,2,3
WBGene00009416,6,4,2,10,2,3,106,32,26,159,33,28
WBGene00009417,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00009418,0,0,0,1,1,3,0,0,0,0,0,0
WBGene00009419,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00009420,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00009421,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00009422,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00009423,8,2,3,12,6,2,18,16,3,7,1,5
WBGene00009424,2,0,0,0,0,0,0,2,0,3,0,2
WBGene00009425,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00009426,4,10,5,8,8,14,0,0,0,3,0,0
WBGene00009427,12,15,18,8,20,24,3,12,16,0,14,3
WBGene00009428,98,82,89,89,66,56,52,38,26,117,18,10
WBGene00009429,39,94,90,49,69,128,1,4,6,3,11,8
WBGene00009430,415,544,490,411,475,589,598,419,417,811,387,344
WBGene00009431,6,12,11,11,8,11,32,12,1,96,28,22
WBGene00009432,38,37,49,48,25,35,31,31,23,53,11,14
WBGene00009433,522,671,736,550,542,491,126,413,266,363,266,241
WBGene00009434,591,553,488,471,478,498,472,671,639,499,513,497
WBGene00009435,2132,2088,2197,1954,1992,2671,1571,2136,1928,1467,1867,1813
WBGene00009436,379,444,346,380,391,475,370,400,461,367,395,335
WBGene00009437,1,12,6,3,3,13,0,12,5,0,0,2
WBGene00009438,1,1,1,0,4,0,2,0,0,3,0,1
WBGene00009439,673,713,569,596,581,671,571,703,621,431,587,540
WBGene00009440,1956,2035,1713,1801,1790,2135,2072,1622,2119,2293,1992,1869
WBGene00009441,695,750,911,568,645,847,446,689,649,262,517,456
WBGene00009442,358,343,275,303,269,388,318,345,318,286,291,278
WBGene00009443,100,107,93,81,76,94,56,84,97,46,66,75
WBGene00009444,560,658,600,555,605,782,346,599,600,291,510,478
WBGene00009445,1251,1239,1053,1118,1111,1318,1001,1129,1103,869,1120,1023
WBGene00009446,2,3,1,4,0,0,28,25,7,30,8,6
WBGene00009447,40,44,44,38,34,22,72,105,61,54,44,40
WBGene00009448,700,768,682,583,660,855,432,696,591,290,514,507
WBGene00009449,2,3,0,2,0,0,63,49,18,115,37,15
WBGene00009450,366,393,362,318,386,482,355,384,402,640,408,392
WBGene00009451,1119,1314,1345,1141,1110,1479,837,1112,1059,703,853,906
WBGene00009452,586,642,614,570,536,583,501,537,562,460,443,444
WBGene00009453,242,370,327,350,380,432,242,413,268,495,357,303
WBGene00009454,3047,3057,2409,3191,3147,3059,3016,2922,3205,3618,3165,2979
WBGene00009455,242,326,245,210,225,217,185,265,269,157,170,177
WBGene00009456,994,1075,1249,882,917,1259,863,1165,1026,663,884,885
WBGene00009457,15,5,2,32,4,2,348,152,131,515,144,130
WBGene00009458,4,2,2,3,0,0,58,39,28,111,42,21
WBGene00009459,3,0,1,3,1,2,79,96,56,101,44,34
WBGene00009460,2670,2716,3609,2153,2617,3874,2210,2946,2695,1492,2156,1848
WBGene00009461,72,98,98,67,69,93,44,53,45,25,38,44
WBGene00009462,0,0,0,0,1,0,1,0,1,0,0,1
WBGene00009463,0,0,0,0,0,0,6,7,2,3,3,2
WBGene00009464,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00009465,0,4,0,0,0,0,6,0,1,20,0,2
WBGene00009466,9,13,6,25,9,7,24,40,19,13,14,11
WBGene00009467,0,0,0,0,0,0,0,0,0,1,0,0
WBGene00009468,14,37,25,20,23,20,13,16,11,13,13,15
WBGene00009469,258,322,379,215,320,295,137,238,252,77,137,142
WBGene00009470,14,2,2,21,2,3,303,109,106,470,146,132
WBGene00009471,4,2,0,2,0,0,125,15,27,154,40,27
WBGene00009472,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00009473,1,0,0,1,0,0,21,4,3,33,7,4
WBGene00009474,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00009475,50,40,19,63,48,48,77,73,36,79,53,44
WBGene00009476,147,153,77,124,144,107,224,188,154,141,152,125
WBGene00009477,1397,1385,1599,1228,1296,1716,1397,1567,1430,1168,1222,1129
WBGene00009478,519,573,479,431,509,536,354,562,453,329,429,413
WBGene00009479,960,1006,1132,917,918,1309,942,1029,985,636,796,806
WBGene00009480,6,3,13,4,3,3,5,3,4,9,2,6
WBGene00009481,0,0,1,0,0,0,0,0,3,0,0,0
WBGene00009482,109,112,109,118,117,126,229,171,141,302,167,127
WBGene00009483,91,70,91,72,89,103,121,71,100,131,60,63
WBGene00009484,1,4,0,4,0,1,4,3,3,5,7,4
WBGene00009485,42,29,32,21,14,24,96,96,103,96,70,51
WBGene00009486,42,18,20,22,20,13,38,45,38,11,5,5
WBGene00009487,1,0,0,0,2,2,0,0,0,0,0,0
WBGene00009488,218,221,186,183,347,280,0,2,5,27,21,21
WBGene00009489,0,0,0,0,0,0,35,11,4,62,9,6
WBGene00009490,0,4,1,2,1,2,0,0,2,0,0,0
WBGene00009491,0,0,0,0,0,0,6,0,0,6,4,0
WBGene00009492,1,1,0,1,0,1,98,26,18,107,45,28
WBGene00009493,2,6,2,3,3,8,1,2,3,0,1,1
WBGene00009494,0,0,0,0,0,1,2,0,0,0,0,0
WBGene00009495,6,12,8,2,10,5,4,10,1,13,11,6
WBGene00009496,0,0,2,2,1,1,3,2,2,2,4,2
WBGene00009497,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00009498,1434,1506,1735,1275,1493,1973,1514,1537,1514,1419,1484,1201
WBGene00009499,793,953,1063,748,939,1126,495,909,853,432,674,667
WBGene00009500,41,17,26,21,26,53,77,54,47,42,33,30
WBGene00009501,1,0,0,1,0,0,34,7,18,53,14,10
WBGene00009502,1,2,0,1,0,0,47,35,16,62,17,14
WBGene00009503,135,149,85,129,135,83,313,226,220,182,221,139
WBGene00009504,27,14,27,23,27,12,50,30,15,94,59,35
WBGene00009505,640,767,784,640,637,740,463,773,690,402,583,509
WBGene00009507,971,944,968,781,871,1184,819,978,862,612,744,719
WBGene00009508,1038,1171,1217,942,1080,1283,666,1026,937,457,774,729
WBGene00009509,2,3,2,2,8,1,3,7,5,1,3,2
WBGene00009510,8,9,15,10,3,19,0,0,3,1,1,0
WBGene00009511,9,10,17,10,11,24,36,35,32,19,20,13
WBGene00009512,34,23,24,20,28,28,26,38,18,37,21,22
WBGene00009513,1,0,0,1,0,1,51,7,11,70,5,8
WBGene00009514,887,1047,631,805,999,1001,722,766,899,937,862,799
WBGene00009515,25,23,21,23,18,32,117,48,29,218,89,84
WBGene00009517,0,0,0,0,0,0,0,0,0,2,2,1
WBGene00009518,20,23,16,16,32,34,60,24,9,38,40,41
WBGene00009519,2,0,0,0,0,0,0,0,0,0,0,1
WBGene00009520,0,0,0,0,1,0,5,0,0,2,1,0
WBGene00009521,687,771,782,640,808,958,673,717,614,493,588,534
WBGene00009522,0,1,1,0,1,2,2,0,0,0,0,0
WBGene00009523,0,0,0,1,0,0,20,2,0,2,3,3
WBGene00009524,0,0,0,0,0,0,2,0,0,0,0,0
WBGene00009525,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00009526,14,12,20,18,15,22,90,52,32,95,39,41
WBGene00009527,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00009528,4,6,2,7,6,9,15,18,8,38,25,13
WBGene00009529,9,12,6,15,20,6,15,12,7,4,9,12
WBGene00009530,0,3,1,1,0,1,0,0,2,2,0,3
WBGene00009531,384,383,206,389,403,316,526,321,327,366,340,332
WBGene00009532,734,624,446,676,514,582,1436,1169,1185,1446,917,796
WBGene00009533,35,65,53,290,418,461,35,32,13,62,30,11
WBGene00009534,274,290,290,264,341,343,261,266,230,390,268,249
WBGene00009535,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00009536,1,4,1,2,0,2,7,1,0,2,3,1
WBGene00009537,32,32,34,29,37,34,0,31,20,0,5,8
WBGene00009538,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00009539,21,33,37,22,32,49,1,29,25,0,8,9
WBGene00009540,1,0,0,0,1,0,0,2,0,0,1,0
WBGene00009541,0,0,4,2,5,5,3,5,0,0,1,0
WBGene00009542,2858,2794,2810,2367,2726,3527,2485,2187,2375,1968,2210,2179
WBGene00009543,9,7,14,10,10,8,20,15,14,12,12,16
WBGene00009544,29,41,58,25,22,42,29,69,30,19,21,17
WBGene00009546,55,57,101,34,66,69,0,22,34,0,6,5
WBGene00009547,24,28,19,19,14,16,83,14,12,15,13,17
WBGene00009548,3,1,0,9,0,1,159,58,63,217,78,46
WBGene00009549,2,2,4,4,1,7,30,17,12,37,21,21
WBGene00009550,0,0,0,1,1,0,34,18,12,36,11,12
WBGene00009551,257,315,334,262,301,306,168,289,295,132,216,248
WBGene00009552,438,447,508,322,415,569,314,397,368,283,269,280
WBGene00009553,1575,1821,2109,1333,1576,1928,869,1432,1207,481,978,1018
WBGene00009554,392,362,337,310,314,351,278,350,339,210,269,255
WBGene00009555,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00009556,228,231,206,192,183,232,103,196,174,77,138,161
WBGene00009557,128,132,131,113,135,169,149,159,159,74,118,100
WBGene00009558,53,33,40,54,40,36,61,39,39,58,35,43
WBGene00009559,825,913,822,670,757,942,572,608,606,405,598,605
WBGene00009560,30,23,32,31,26,32,27,15,14,36,18,11
WBGene00009561,1,5,3,3,2,4,3,8,4,14,2,3
WBGene00009562,91,76,89,72,102,104,123,164,101,116,93,77
WBGene00009563,603,701,645,554,633,758,481,1025,685,478,592,613
WBGene00009565,408,574,529,402,412,532,294,881,503,243,381,385
WBGene00009566,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00009567,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00009568,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00009569,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00009570,0,0,0,0,0,0,0,0,1,0,0,0
WBGene00009571,0,0,0,1,2,0,0,2,0,0,0,1
WBGene00009572,2,0,2,2,4,3,10,11,6,4,3,2
WBGene00009573,1,6,2,5,1,12,12,4,1,45,2,0
WBGene00009574,749,754,765,784,773,810,779,715,676,1145,950,703
WBGene00009575,567,620,559,605,572,696,498,640,633,513,591,543
WBGene00009576,57,57,59,69,53,57,59,67,69,59,50,47
WBGene00009577,93,95,56,82,91,56,140,114,60,80,103,81
WBGene00009578,812,648,500,788,726,715,1366,768,870,1107,911,734
WBGene00009579,13,8,5,14,6,7,15,13,5,6,14,8
WBGene00009580,1005,1129,1021,1033,1131,1270,866,1005,908,1147,998,866
WBGene00009581,5,1,1,17,4,3,235,120,76,359,119,96
WBGene00009582,101,116,98,75,117,139,101,90,92,96,101,86
WBGene00009583,2572,2857,3107,2397,2648,3406,2217,2494,2159,2511,2242,1997
WBGene00009584,731,878,884,687,733,1003,689,810,689,641,726,631
WBGene00009585,0,1,0,0,0,0,0,0,0,0,0,0
WBGene00009586,2,5,5,3,5,6,8,9,1,8,4,6
WBGene00009587,1078,1141,1448,762,1002,1440,782,931,776,592,635,654
WBGene00009588,481,413,496,404,345,304,229,764,496,202,337,333
WBGene00009589,1,0,3,1,0,1,8,8,11,14,3,5
WBGene00009590,11,7,0,0,4,9,14,0,1,17,9,0
WBGene00009592,0,0,0,4,1,1,56,27,11,96,22,14
WBGene00009593,0,0,1,2,2,10,0,2,1,1,3,1
WBGene00009594,1928,1867,2116,1692,1824,2514,1881,2074,2013,1962,1878,1781
WBGene00009595,339,358,336,377,274,347,477,983,563,477,379,352
WBGene00009596,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00009597,0,0,0,0,2,2,4,0,0,1,2,2
WBGene00009598,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00009599,0,0,0,0,1,0,0,0,0,0,0,0
WBGene00009600,4,3,0,1,0,0,0,4,3,5,0,0
WBGene00009601,0,3,0,4,2,4,5,5,4,5,3,4
WBGene00009602,0,0,0,1,0,1,0,2,1,0,0,0
WBGene00009603,0,0,0,1,0,0,0,0,0,0,0,0
WBGene00009604,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00009605,9,1,1,6,1,0,113,39,41,172,58,37
WBGene00009606,437,505,523,413,471,485,161,446,382,86,256,272
WBGene00009607,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00009608,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00009609,0,0,0,0,0,0,9,4,2,3,1,0
WBGene00009610,0,1,2,1,1,0,0,0,0,0,0,0
WBGene00009611,0,0,0,0,0,0,0,0,0,1,0,0
WBGene00009612,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00009613,0,0,0,0,0,0,1,0,1,0,0,0
WBGene00009614,2,3,1,0,1,0,8,3,0,1,0,0
WBGene00009615,0,1,2,1,1,0,0,0,0,0,0,0
WBGene00009616,0,0,0,0,0,0,0,0,0,3,0,0
WBGene00009617,39,48,50,106,106,135,53,31,32,48,31,44
WBGene00009618,28,24,18,23,20,36,19,40,42,27,22,23
WBGene00009619,6,6,2,4,0,5,10,6,2,10,10,1
WBGene00009620,21,14,23,40,36,30,65,51,23,95,58,26
WBGene00009621,585,641,486,693,712,734,1820,1280,853,1773,939,805
WBGene00009622,2,2,3,2,4,4,4,9,6,3,4,0
WBGene00009623,0,0,2,0,4,1,7,0,0,3,2,2
WBGene00009624,83,77,73,89,66,51,120,103,56,78,67,60
WBGene00009625,0,2,0,0,0,0,0,2,1,0,4,3
WBGene00009626,80,80,105,57,54,88,340,175,102,380,205,119
WBGene00009627,507,537,564,449,480,616,299,596,471,201,412,387
WBGene00009628,963,1419,1186,1530,1284,1474,637,851,682,2765,2101,1699
WBGene00009629,19,30,17,31,36,22,22,25,14,23,19,21
WBGene00009630,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00009631,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00009632,447,513,631,335,449,513,288,323,297,347,306,297
WBGene00009633,0,0,0,0,0,0,2,0,0,0,1,2
WBGene00009634,149,163,83,167,154,135,299,238,119,156,168,160
WBGene00009635,99,127,119,113,105,116,230,124,107,87,84,82
WBGene00009636,76,98,84,60,83,89,97,96,80,95,68,60
WBGene00009637,135,131,49,140,116,87,193,136,94,78,94,107
WBGene00009638,207,272,88,229,251,200,453,330,175,243,265,250
WBGene00009639,276,319,127,271,288,270,527,439,263,298,296,321
WBGene00009640,153,194,79,183,182,127,285,248,143,167,176,177
WBGene00009641,8,9,7,4,7,2,75,44,23,147,54,28
WBGene00009642,19,32,22,12,23,37,69,9,24,60,40,28
WBGene00009643,5,9,11,21,5,2,130,72,37,179,102,44
WBGene00009644,9,16,18,11,27,27,17,25,12,22,26,21
WBGene00009645,267,206,164,338,285,325,410,352,436,528,455,404
WBGene00009646,0,0,0,0,0,0,0,0,0,6,0,0
WBGene00009647,1,10,8,3,9,7,9,8,9,2,2,1
WBGene00009648,176,175,128,145,137,155,136,197,167,94,157,116
WBGene00009649,8,13,9,10,6,10,38,15,21,34,20,7
WBGene00009650,815,926,851,686,757,859,564,842,814,468,667,643
WBGene00009651,271,325,352,253,289,413,119,234,222,83,212,202
WBGene00009652,1,1,0,0,1,0,1,1,3,2,1,4
WBGene00009653,32,93,146,19,77,91,16,10,8,146,68,24
WBGene00009654,543,613,676,514,556,656,423,488,454,348,458,430
WBGene00009656,129,128,144,126,107,144,101,169,144,89,149,163
WBGene00009657,159,161,153,111,137,154,134,118,137,164,125,116
WBGene00009658,51,52,67,52,46,102,2,39,47,2,7,17
WBGene00009659,182,200,190,145,196,181,73,223,151,56,121,103
WBGene00009660,186,171,95,152,146,116,222,242,247,113,165,152
WBGene00009661,3927,4634,5339,3555,3887,5060,2685,4201,3532,1534,2958,2941
WBGene00009662,137,202,196,147,155,149,65,139,134,32,113,101
WBGene00009663,74,57,48,39,47,51,203,82,113,113,54,33
WBGene00009664,2303,2409,1980,2367,2210,2432,2862,2093,2366,2744,2520,2313
WBGene00009665,301,364,405,309,313,419,321,443,338,202,314,279
WBGene00009666,315,311,312,261,291,317,394,380,303,401,396,318
WBGene00009667,484,451,509,407,447,538,370,461,497,280,389,377
WBGene00009668,825,913,845,743,750,860,513,711,685,422,626,642
WBGene00009670,1,1,0,2,0,0,13,5,2,18,9,4
WBGene00009671,1273,1457,1526,1159,1275,1609,1165,1575,1330,755,1155,1100
WBGene00009672,813,825,869,728,778,1035,701,1006,816,550,736,720
WBGene00009673,221,207,233,163,222,218,157,283,233,135,180,199
WBGene00009674,580,659,593,497,629,749,384,458,425,570,481,449
WBGene00009675,5,10,7,3,4,10,1,1,2,0,0,0
WBGene00009676,105,106,63,82,93,90,96,130,105,120,119,86
WBGene00009677,213,194,165,136,137,148,210,247,203,131,134,148
